encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
10644,10133,10190,12209,21305,21504
11759,11164,11298,13255,22403,22540
12733,12120,12291,14217,23390,23502
13562,12992,13139,15116,24237,24386
14471,13894,14052,16033,25147,25302
15421,14841,15000,16986,26095,26252
16246,15665,15813,17822,26913,27085
16992,16364,16566,18520,27658,27792
18036,17306,17606,19487,28686,28753
18970,18189,18526,20372,29612,29638
20084,19231,19627,21413,30714,30687
21240,20288,20730,22462,31803,31744
22350,21323,21812,23499,32886,32783
23363,22294,22821,24487,33886,33771
24272,23258,23735,25477,34815,34758
25145,24153,24624,26402,35690,35669
25966,24954,25426,27225,36486,36494
26768,25750,26230,28041,37276,37293
27697,26679,27160,28998,38202,38241
28353,27339,27822,29672,38859,38913
29107,28110,28592,30450,39636,39703
29678,28713,29175,31037,40221,40305
30045,29090,29545,31388,40595,40683
30146,29179,29636,31489,40679,40782
30182,29192,29650,31546,40696,40802
30421,29413,29874,31778,40926,41019
30863,29862,30325,32241,41380,41479
31526,30545,31013,32932,42071,42176
32320,31341,31804,33731,42864,42981
33004,32032,32475,34414,43531,43666
33725,32748,33212,35146,44267,44390
34499,33516,33978,35919,45028,45166
35301,34310,34773,36722,45821,45966
36152,35166,35632,37587,46671,46820
36915,35914,36382,38355,47425,47573
37717,36716,37188,39164,48221,48377
38531,37535,37997,40005,49026,49205
39292,38302,38765,40784,49787,49966
40105,39097,39584,41599,50589,50786
40859,39831,40329,42360,51330,51536
41644,40610,41128,43151,52116,52334
42478,41433,41962,44000,52944,53172
43387,42321,42870,44899,53841,54075
44187,43061,43663,45648,54623,54827
45191,43984,44651,46578,55589,55760
46215,45003,45678,47603,56617,56786
47130,45969,46608,48581,57546,57770
48037,46868,47523,49495,58457,58688
48680,47535,48184,50153,59125,59350
49178,48042,48678,50632,59629,59853
49587,48414,49059,51033,59999,60230
50172,48972,49621,51599,60568,60792
50793,49593,50251,52232,61191,61419
51499,50310,50969,52957,61915,62146
52427,51244,51915,53903,62863,63079
53101,51922,52591,54586,63539,63755
53884,52700,53365,55367,64322,64529
53884,52700,53365,55367,64322,64529
54980,53794,54445,56493,65403,99
55534,54342,54992,57068,417,667
56223,55018,55688,57763,1106,1353
57049,55857,56505,58630,1914,2215
57928,56811,57389,59616,2798,3167
58894,57845,58384,60691,3794,4221
58894,57845,58384,60691,3794,4221
59739,58766,59251,61639,4669,5166
60908,59928,60443,62828,5858,6356
61721,60724,61246,63633,6652,7166
62737,61733,62259,64661,7656,8198
63525,62523,63046,65457,8441,8995
64236,63226,63758,631,9150,9713
65012,64002,64546,1416,9930,10503
388,64920,65456,2332,10837,11418
1102,94,642,3046,11554,12124
1873,866,1417,3830,12327,12902
2695,1684,2242,4656,13155,13733
3528,2539,3075,5517,13994,14582
4413,3481,3966,6486,14883,15539
5293,4384,4862,7419,15773,16456
6352,5396,5921,8435,16815,17472
7051,6068,6626,9132,17535,18161
7777,6791,7342,9873,18247,18899
8601,7594,8160,10699,19057,19723
9432,8417,8998,11541,19881,20560
10284,9257,9847,12388,20723,21422
10983,9968,10556,13119,21424,22135
11794,10841,11384,14034,22252,23027
12870,11896,12387,15105,23266,24085
13682,12689,13216,15911,24085,24920
14529,13525,14057,16751,24926,25764
15394,14394,14924,17630,25795,26641
16301,15298,15833,18546,26697,27550
17079,16087,16622,19333,27484,28336
17977,16982,17419,20233,28377,29230
